timestamp,vehicle_id,speed,engine_temp,fuel_level,lat,lon
2024-03-01 00:00:00,V1,41,84,50,13.72701,77.92426
2024-03-01 00:00:00,V2,17,105,95,13.86915,77.90112
2024-03-01 00:00:00,V3,79,94,79,13.06656,78.44125
2024-03-01 00:00:00,V4,100,117,44,13.57825,78.28303
2024-03-01 00:00:00,V5,80,70,83,13.74648,77.68761
2024-03-01 00:05:00,V1,93,98,80,13.80148,78.04476
2024-03-01 00:05:00,V2,90,107,65,13.04997,77.97242
2024-03-01 00:05:00,V3,24,73,64,13.79185,78.24325
2024-03-01 00:05:00,V4,29,113,76,13.13934,77.58886
2024-03-01 00:05:00,V5,3,106,94,13.26214,78.13483
2024-03-01 00:10:00,V1,41,77,30,12.9659,78.27572
2024-03-01 00:10:00,V2,86,80,77,13.11314,77.53403
2024-03-01 00:10:00,V3,67,116,23,13.10768,77.8658
2024-03-01 00:10:00,V4,13,93,62,12.91507,78.25692
2024-03-01 00:10:00,V5,4,72,30,13.13771,77.97803
2024-03-01 00:15:00,V1,35,109,53,13.12536,77.96305
2024-03-01 00:15:00,V2,59,79,38,13.5913,77.65344
2024-03-01 00:15:00,V3,63,96,57,13.6222,77.6727
2024-03-01 00:15:00,V4,20,95,57,13.8734,77.61069
2024-03-01 00:15:00,V5,94,118,69,13.50881,77.77555
2024-03-01 00:20:00,V1,116,115,29,13.83093,78.2131
2024-03-01 00:20:00,V2,44,106,64,13.12872,77.99454
2024-03-01 00:20:00,V3,85,120,34,13.65202,77.59443
2024-03-01 00:20:00,V4,57,90,31,12.94553,78.1296
2024-03-01 00:20:00,V5,37,104,24,13.05459,77.6239
2024-03-01 00:25:00,V1,68,80,25,12.91887,77.94421
2024-03-01 00:25:00,V2,47,116,91,13.898,77.6949
2024-03-01 00:25:00,V3,65,75,65,13.55261,77.73328
2024-03-01 00:25:00,V4,108,73,87,13.17957,78.36567
2024-03-01 00:25:00,V5,33,106,75,13.1482,77.83295
2024-03-01 00:30:00,V1,67,71,46,13.81668,78.41191
2024-03-01 00:30:00,V2,58,71,32,13.44043,78.26912
2024-03-01 00:30:00,V3,82,102,42,13.32966,78.34965
2024-03-01 00:30:00,V4,110,106,53,13.1648,77.87406
2024-03-01 00:30:00,V5,53,85,47,12.93663,78.4935
2024-03-01 00:35:00,V1,107,117,15,13.89807,77.78418
2024-03-01 00:35:00,V2,109,118,88,13.14105,78.4968
2024-03-01 00:35:00,V3,115,80,46,12.94524,77.77518
2024-03-01 00:35:00,V4,81,99,96,13.58667,78.07811
2024-03-01 00:35:00,V5,103,114,57,13.75181,78.46418
2024-03-01 00:40:00,V1,29,88,63,13.59711,77.78627
2024-03-01 00:40:00,V2,58,85,96,13.77323,77.87031
2024-03-01 00:40:00,V3,88,75,42,13.5354,77.87238
2024-03-01 00:40:00,V4,6,115,23,13.69892,77.76562
2024-03-01 00:40:00,V5,21,104,56,13.54631,78.32799
2024-03-01 00:45:00,V1,99,95,36,13.58455,78.26045
2024-03-01 00:45:00,V2,35,119,78,13.79876,77.84077
2024-03-01 00:45:00,V3,72,73,81,13.56508,77.94883
2024-03-01 00:45:00,V4,70,89,28,13.13072,78.21053
2024-03-01 00:45:00,V5,92,70,47,13.78019,77.85374
2024-03-01 00:50:00,V1,47,108,94,13.0418,77.98996
2024-03-01 00:50:00,V2,19,108,49,13.62526,77.64864
2024-03-01 00:50:00,V3,54,114,47,13.08607,78.42637
2024-03-01 00:50:00,V4,12,82,76,13.08264,77.81683
2024-03-01 00:50:00,V5,80,87,45,13.28265,77.75562
2024-03-01 00:55:00,V1,28,86,11,13.89228,77.82385
2024-03-01 00:55:00,V2,49,71,86,13.16862,78.40252
2024-03-01 00:55:00,V3,117,111,35,13.27322,78.2586
2024-03-01 00:55:00,V4,7,91,69,13.39003,77.9979
2024-03-01 00:55:00,V5,117,109,49,13.63176,77.50153
2024-03-01 01:00:00,V1,77,109,41,13.0919,77.74169
2024-03-01 01:00:00,V2,10,94,86,13.52418,77.77444
2024-03-01 01:00:00,V3,116,100,64,13.80992,78.24837
2024-03-01 01:00:00,V4,113,109,40,13.21452,78.41113
2024-03-01 01:00:00,V5,39,112,47,13.3443,78.16776
2024-03-01 01:05:00,V1,106,90,14,13.47326,78.05636
2024-03-01 01:05:00,V2,115,118,35,13.89538,78.11431
2024-03-01 01:05:00,V3,18,108,50,13.8506,78.47178
2024-03-01 01:05:00,V4,71,101,88,13.16988,77.67642
2024-03-01 01:05:00,V5,4,73,49,13.21282,78.25163
2024-03-01 01:10:00,V1,30,96,21,13.3819,77.70721
2024-03-01 01:10:00,V2,39,101,28,13.17535,78.07623
2024-03-01 01:10:00,V3,60,74,33,12.93883,77.93878
2024-03-01 01:10:00,V4,94,108,43,13.23387,78.27753
2024-03-01 01:10:00,V5,7,71,43,13.78785,78.14928
2024-03-01 01:15:00,V1,0,101,45,13.11447,78.19061
2024-03-01 01:15:00,V2,89,115,93,13.5941,78.19454
2024-03-01 01:15:00,V3,102,113,91,13.28266,78.24699
2024-03-01 01:15:00,V4,73,118,75,13.4811,78.37931
2024-03-01 01:15:00,V5,65,112,100,13.07354,77.79198
2024-03-01 01:20:00,V1,5,111,13,13.43143,78.06677
2024-03-01 01:20:00,V2,5,106,39,13.0454,77.73641
2024-03-01 01:20:00,V3,46,109,19,13.3844,77.53912
2024-03-01 01:20:00,V4,67,80,59,13.56347,78.283
2024-03-01 01:20:00,V5,118,94,48,13.53794,78.2756
2024-03-01 01:25:00,V1,111,116,45,13.49309,77.61339
2024-03-01 01:25:00,V2,79,114,61,13.55313,78.17047
2024-03-01 01:25:00,V3,9,78,89,13.57748,78.30606
2024-03-01 01:25:00,V4,96,84,71,13.57882,78.43611
2024-03-01 01:25:00,V5,87,72,62,13.82334,78.08822
2024-03-01 01:30:00,V1,84,118,65,13.39493,78.17245
2024-03-01 01:30:00,V2,29,118,78,13.3675,78.44322
2024-03-01 01:30:00,V3,7,118,63,13.33561,77.93516
2024-03-01 01:30:00,V4,110,81,36,13.67471,78.02986
2024-03-01 01:30:00,V5,109,120,44,13.06854,77.71659
